Transaction_Type,Property_Type,Municipality,Neighborhood,Price,Land_Area,Construction_Area,Price_per_SqMeter_Land,Price_per_SqMeter_Construction
Rental,Departamento,ZAPOPAN,,19000.0,,,,
Rental,Casa,TLAJOMULCO,SANTA ANITA,45000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,28500.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,65000.0,,,,
Rental,Departamento,GUADALAJARA,COLOMOS PROVIDENCIA,30000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,26900.0,,,,
Rental,Departamento,GUADALAJARA,,28900.0,,,,
Rental,Departamento,ZAPOPAN,,19000.0,,,,
Rental,Departamento,ZAPOPAN,,24500.0,,,,
Rental,Casa,GUADALAJARA,JARDINES DEL BOSQUE,25000.0,,,,
Rental,Departamento,ZAPOPAN,,75000.0,,,,
Rental,Casa,TLAJOMULCO,,13000.0,,,,
Rental,Casa,TLAJOMULCO,ELEMENT,12000.0,,,,
Rental,Departamento,TLAJOMULCO,PUNTO SUR,25000.0,,,,
Rental,Casa,ZAPOPAN,,15500.0,,,,
Rental,Casa,ZAPOPAN,JARDIN REAL,65000.0,,,,
Rental,Departamento,ZAPOPAN,EL CAMPANARIO,13300.0,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,59000.0,,,,
Rental,Casa,ZAPOPAN,,8800.0,,,,
Rental,Departamento,ZAPOPAN,,22500.0,,,,
Rental,Departamento,ZAPOPAN,CIUDAD GRANJA,24000.0,,,,
Rental,Departamento,ZAPOPAN,LOMA BONITA,16000.0,,,,
Rental,Departamento,GUADALAJARA,,17500.0,,,,
Rental,Departamento,ZAPOPAN,LA CALMA,12000.0,,,,
Rental,Casa,GUADALAJARA,VALLARTA,70000.0,,,,
Rental,Casa,TLAJOMULCO,REAL DEL VALLE,9500.0,,,,
Rental,Casa,ZAPOPAN,PARQUES DE TESISTAN III,8400.0,,,,
Rental,Departamento,GUADALAJARA,AMERICANA,23000.0,,,,
Rental,Casa,EL SALTO,,5800.0,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,43000.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA SAN JORGE,35000.0,,,,
Rental,Departamento,ZAPOPAN,,4000.0,,,,
Rental,Departamento,GUADALAJARA,,32000.0,,,,
Rental,Casa,ZAPOPAN,,9000.0,,,,
Rental,Casa,ZAPOPAN,LAS AGUILAS,17000.0,,,,
Rental,Departamento,ZAPOPAN,,36000.0,,,,
Rental,Casa,ZAPOPAN,SAN ISIDRO RESIDENCIAL,13500.0,,,,
Rental,Departamento,ZAPOPAN,,40000.0,,,,
Rental,Departamento,TLAJOMULCO,PUNTO SUR,20000.0,,,,
Rental,Casa,ZAPOPAN,,4950.0,,,,
Rental,Departamento,ZAPOPAN,,13000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,28000.0,,,,
Rental,Departamento,ZAPOPAN,,15500.0,,,,
Rental,Casa,TLAJOMULCO,,21900.0,,,,
Rental,Departamento,ZAPOPAN,,25000.0,,,,
Rental,Departamento,ZAPOPAN,PASEOS DEL SOL,10500.0,,,,
Rental,Casa,TLAQUEPAQUE,,13000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,34000.0,,,,
